,Ozone,Wind,Temp,Month,Day
62,135,4.1,84,May,1
63,49,9.2,85,May,2
64,32,9.2,81,May,3
65,NA,10.9,84,May,4
66,64,4.6,83,May,5
67,40,10.9,83,May,6
68,77,5.1,88,May,7
69,97,6.3,92,May,8
70,97,5.7,92,May,9
71,85,7.4,89,May,10
72,NA,8.6,82,May,11
73,10,14.3,73,May,12
74,27,14.9,81,May,13
75,NA,14.9,91,May,14
76,7,14.3,80,May,15
77,48,6.9,81,May,16
78,35,10.3,82,May,17
79,61,6.3,84,May,18
80,79,5.1,87,May,19
81,63,11.5,85,May,20
82,16,6.9,74,May,21
83,NA,9.7,81,May,22
84,NA,11.5,82,May,23
85,80,8.6,86,May,24
86,108,8,85,May,25
87,20,8.6,82,May,26
88,52,12,86,May,27
89,82,7.4,88,May,28
90,50,7.4,86,May,29
91,64,7.4,83,May,30
92,59,9.2,81,May,31
93,39,6.9,81,June,1
94,9,13.8,81,June,2
95,16,7.4,82,June,3
96,78,6.9,86,June,4
97,35,7.4,85,June,5
98,66,4.6,87,June,6
99,122,4,89,June,7
100,89,10.3,90,June,8
101,110,8,90,June,9
102,NA,8.6,92,June,10
103,NA,11.5,86,June,11
104,44,11.5,86,June,12
105,28,11.5,82,June,13
106,65,9.7,80,June,14
107,NA,11.5,79,June,15
108,22,10.3,77,June,16
109,59,6.3,79,June,17
110,23,7.4,76,June,18
111,31,10.9,78,June,19
112,44,10.3,78,June,20
113,21,15.5,77,June,21
114,9,14.3,72,June,22
115,NA,12.6,75,June,23
116,45,9.7,79,June,24
117,168,3.4,81,June,25
118,73,8,86,June,26
119,NA,5.7,88,June,27
120,76,9.7,97,June,28
121,118,2.3,94,June,29
122,84,6.3,96,June,30
123,85,6.3,94,June,31
124,96,6.9,91,July,1
125,78,5.1,92,July,2
126,73,2.8,93,July,3
127,91,4.6,93,July,4
128,47,7.4,87,July,5
129,32,15.5,84,July,6
130,20,10.9,80,July,7
131,23,10.3,78,July,8
132,21,10.9,75,July,9
133,24,9.7,73,July,10
134,44,14.9,81,July,11
135,21,15.5,76,July,12
136,28,6.3,77,July,13
137,9,10.9,71,July,14
138,13,11.5,71,July,15
139,46,6.9,78,July,16
140,18,13.8,67,July,17
141,13,10.3,76,July,18
142,24,10.3,68,July,19
143,16,8,82,July,20
144,13,12.6,64,July,21
145,23,9.2,71,July,22
146,36,10.3,81,July,23
147,7,10.3,69,July,24
148,14,16.6,63,July,25
149,30,6.9,70,July,26
150,NA,13.2,77,July,27
151,14,14.3,75,July,28
152,18,8,76,July,29
153,20,11.5,68,July,30